word,wordURL,meaning_1,sentence_1,meaning_2,sentence_2,meaning_3,sentence_3,way_to_remember,way_to_remember2,difficulty
renege,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-3/renege#back,",verb: fail to fulfill a promise or obligation,We will no longer work with that vendor since it has reneged on nearly every agreement.,None,None,None,None,"renege : made of re+nege nege is a root for negative, go negative on ones own said words, which is the meaning.",renege seems lke rehne de.. so rehne de promise mat kar coz i the end you will renege it or sumthng,BASIC
morose,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-3/morose#back,",adjective: ill-tempered and not inclined to talk; gloomy,"After Stanley found out he was no longer able to go on vacation with his friends, he sat in his room morosely.",None,None,None,None,in hindi it is like MOR(peacock) RO(weep) SA raha hai-means it is in sorrow and hence brooding ill humoured,A guy gave a crushed(MOroda hua(Hindi)) ROSE to girl as a humor she got pissed on this ill humor at the guy and canceled the plan of party(unsociable),BASIC
fete,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-3/fete#back,",verb: to celebrate a person,"After World War II, war heroes were feted at first but quickly forgotten.",None,None,None,None,sounds as feat(fete) which means accomplishment....sowe can say...after a glorious feat we do  fete,I bought a new ford FIESTA (sounds like fete) so I am celebrating,BASIC
jocular,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-3/jocular#back,",adjective: characterized by jokes and good humor,"My uncle was always in a jocular mood at family gatherings, messing up people's hair and telling knock-knock jokes to anyone who would listen.",None,None,None,None,joker,Joke(joc) + cooler (cular). Imagine a cooler which throws out jokes. (jocular = said or done as a joke),BASIC
resolve,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-3/resolve#back,",verb: reach a conclusion after a discussion or deliberation,"After much thought, Ted resolved not to travel abroad this summer because he didn't have much money in his bank account.",None,None,None,None,"If u r SOLVING problems in a chapter AGAIN & AGAIN
then u have determination to do that chapter in exams",None,BASIC
fledgling,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-3/fledgling#back,","adjective: young and inexperienced
noun: any new participant in some activity","Murray has years of experience in family practice, but he is just a fledgling in surgery.",None,None,None,None,"sounds similar to sledging in cricket...
normally inexperience young players if unable to get wickets than do sledging..
hope this ll help",rhymes with duckling.. a young duck thus referring to inexperience.,BASIC
patronize,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-3/patronize#back,",verb: treat condescendingly,"She says she genuinely wanted to help me, but instead she patronized me, constantly pointing out how I was inferior to her.",None,None,None,None,PATRO(father)+NIZE(nice)....we get NICE SUPPORT from our FATHER,If u remember Patronus--from latin it will give u a lot of words like patriarch (Patri+ arch: ruled by father or eldest male) well you father is giving u regular pat (encouragement),BASIC
quandary,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-3/quandary#back,",noun: state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options,"Steve certainly is in a quandary: if he doesn't call Elaine, she will blame him for everything, but if he does call her, the evidence of where he currently is could cost him his job.",None,None,None,None,"quantary relates to quantum physics,which is so complex that it leaves you in DILEMMA about the UNCERTAINITY of photon",this word quandary sounds like wandering so if you are in a DILEMMA you wander all around the streets.....,BASIC
archaic,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-3/archaic#back,",adjective: so old as to appear to belong to a different period,"Hoping to sound intelligent, Mary spoke in archaic English that was right out of Jane Austen's Pride and Prejudice--needless to say, she didn't have many friends.",None,None,None,None,Archealogy - study of old things.. Archaic - The old things on which we study..,The word resembles like archies ...the old archies card are kept with us.,BASIC
ornate,"https://gre.magoosh.com/flashcards/vocabulary/basic-words-3/ornate#back,",adjective: marked by elaborate rhetoric and elaborated with decorative details,The ornate Victorian and Edwardian homes spread throughout San Francisco are my favorite part of the city.,None,None,None,None,"sounds like ORNAmenTe ..when many ornaments are used, the thing is ornated.",None,BASIC
